# _tick,_time,frames,loss
0,1765154189.302573,0,1.4100563377141953
1,1765154195.9148605,512,1.5280074179172516
2,1765154202.5254982,1024,1.6696477606892586
3,1765154209.2159617,1536,1.0857855454087257
4,1765154216.1054587,2048,1.0040502399206161
5,1765154222.6913147,2560,1.4783518686890602
6,1765154229.312796,3072,1.603480614721775
7,1765154236.0245962,3584,1.2631508558988571
8,1765154242.6656709,4096,0.8314970061182976
9,1765154249.269401,4608,1.1585477776825428
10,1765154255.8865595,5120,1.9337834119796753
11,1765154262.465508,5632,1.2306681275367737
12,1765154269.063071,6144,1.5516405254602432
13,1765154275.859158,6656,1.2168634086847305
14,1765154282.4655075,7168,1.7566118389368057
15,1765154289.0689166,7680,1.9683927223086357
16,1765154295.7351198,8192,1.248878188431263
17,1765154302.4485278,8704,0.944546714425087
18,1765154309.0461247,9216,1.1815528273582458
19,1765154315.6454144,9728,1.1909677162766457
20,1765154322.1859393,10240,1.0862410441040993
21,1765154328.8411949,10752,1.4903760179877281
22,1765154335.4575748,11264,0.8517711460590363
23,1765154342.2204988,11776,1.249322846531868
24,1765154348.8302715,12288,1.3482443168759346
25,1765154355.39463,12800,1.1486935690045357
26,1765154362.059509,13312,1.122926615178585
27,1765154368.6044083,13824,1.2683951184153557
28,1765154378.0535254,14336,1.2330557107925415
29,1765154384.8433132,14848,1.3259289637207985
30,1765154391.6469557,15360,1.472883753478527
31,1765154398.2191005,15872,1.222375050187111
32,1765154405.23419,16384,1.14017054438591
33,1765154411.9952872,16896,2.2575388103723526
34,1765154418.8607311,17408,1.2016927897930145
35,1765154425.7492747,17920,1.1913698017597198
36,1765154432.7259462,18432,1.3259724229574203
37,1765154439.4286065,18944,1.9645650312304497
38,1765154446.1554477,19456,1.3308435380458832
39,1765154452.8835251,19968,1.1271706596016884
40,1765154459.6164823,20480,1.4077702686190605
41,1765154466.216751,20992,1.132949560880661
42,1765154472.8515096,21504,1.1387939602136612
43,1765154479.6026917,22016,1.1344609558582306
44,1765154486.312508,22528,1.708106555044651
